tSec,x,y,z,vx,vy,vz,
66480,33324445.1098366,25832333.1296859,-45666.2801651881,-1883.69978253106,2430.03539201336,4.35850851804567,
66540,33211104.5072152,25977887.5350614,-45404.327504756,-1894.31427772582,2421.77038063459,4.37323308607572,
66600,33097128.1217941,26122944.6481624,-45141.4938469282,-1904.89250871246,2413.4590093014,4.38787505069899,
66660,32982518.1355039,26267501.6921596,-44877.7841563902,-1915.43427301002,2405.10143709897,4.40243412947122,
66720,32867276.7424029,26411555.8997957,-44613.2034147275,-1925.93936883517,2396.69782399671,4.41691004150494,
66780,32751406.1486353,26555104.5134377,-44347.7566203319,-1936.40759510606,2388.24833084523,4.43130250747483,
66840,32634908.5723892,26698144.7851301,-44081.448788308,-1946.83875144618,2379.75311937326,4.44561124962292,
66900,32517786.2438542,26840673.9766475,-43814.2849503784,-1957.23263818818,2371.21235218455,4.45983599176386,
66960,32400041.4051782,26982689.3595468,-43546.2701547897,-1967.58905637771,2362.62619275478,4.47397645929012,
67020,32281676.3104251,27124188.2152196,-43277.4094662174,-1977.90780777722,2353.99480542842,4.48803237917717,
67080,32162693.2255315,27265167.8349439,-43007.707965671,-1988.18869486976,2345.31835541559,4.50200347998861,
67140,32043094.4282632,27405625.5199366,-42737.1707503982,-1998.43152086274,2336.59700878893,4.51588949188134,
67200,31922882.2081718,27545558.5814044,-42465.8029337896,-2008.63608969173,2327.83093248041,4.52969014661058,
67260,31802058.8665506,27684964.3405958,-42193.6096452821,-2018.80220602419,2319.02029427813,4.54340517753499,
67320,31680626.7163912,27823840.1288521,-41920.5960302632,-2028.92967526322,2310.16526282312,4.55703431962168,
67380,31558588.0823386,27962183.2876588,-41646.7672499738,-2039.01830355127,2301.26600760614,4.57057730945119,
67440,31435945.3006469,28099991.1686958,-41372.1284814113,-2049.06789777388,2292.3226989644,4.5840338852225,
67500,31312700.7191349,28237261.133889,-41096.6849172329,-2059.07826556333,2283.33550807835,4.59740378675795,
67560,31188856.6971408,28373990.5554602,-40820.4417656572,-2069.04921530239,2274.30460696839,4.61068675550815,
67620,31064415.6054773,28510176.8159774,-40543.404250367,-2078.98055612792,2265.23016849156,4.62388253455687,
67680,30939379.8263863,28645817.3084051,-40265.577610411,-2088.87209793457,2256.11236633829,4.63699086862588,
67740,30813751.753493,28780909.4361543,-39986.9671001053,-2098.72365137841,2246.95137502902,4.65001150407979,
67800,30687533.7917602,28915450.6131319,-39707.5779889346,-2108.53502788054,2237.74736991091,4.66294418893083,
67860,30560728.3574428,29049438.2637903,-39427.4155614535,-2118.30603963072,2228.50052715449,4.67578867284361,
67920,30433337.8780409,29182869.8231769,-39146.4851171868,-2128.03649959094,2219.21102375025,4.68854470713986,
67980,30305364.7922535,29315742.7369829,-38864.7919705305,-2137.72622149904,2209.8790375053,4.70121204480311,
68040,30176811.5499322,29448054.4615926,-38582.3414506512,-2147.37501987225,2200.50474703997,4.71379044048341,
68100,30047680.612034,29579802.4641314,-38299.1389013868,-2156.98271001074,2191.08833178437,4.72627965050189,
68160,29917974.4505744,29710984.2225151,-38015.1896811454,-2166.54910800117,2181.62997197498,4.73867943285543,
68220,29787695.5485799,29841597.2254976,-37730.499162805,-2176.07403072021,2172.12984865121,4.75098954722124,
68280,29656846.4000405,29971638.9727192,-37445.0727336125,-2185.55729583804,2162.58814365191,4.76320975496135,
